name, #cases, avgTAT, avgWT, avgRT, nCS
SJF,10,536.200012,385.000000,385.000000,9
RR,10,935.299988,784.099976,32.700001,156
DRRHA,10,647.200012,496.000000,355.000000,19
MDRRHA,10,571.700012,420.500000,352.799988,15
NDRRHA,10,643.299988,492.100006,344.600006,26
HRRNHA,10,706.200012,555.000000,518.700012,11
SJF,50,3276.320068,3093.959961,3093.959961,49
RR,50,6204.680176,6022.319824,232.479996,933
DRRHA,50,3893.719971,3711.360107,2227.540039,97
MDRRHA,50,3864.280029,3681.919922,2188.899902,96
NDRRHA,50,4222.240234,4039.879883,1892.540039,103
HRRNHA,50,3715.479980,3533.120117,2926.659912,60
SJF,100,6930.910156,6729.470215,6729.470215,99
RR,100,13591.790039,13390.349609,485.339996,2055
DRRHA,100,8461.820312,8260.379883,5578.120117,180
MDRRHA,100,8616.860352,8415.419922,5161.080078,196
NDRRHA,100,8690.870117,8489.429688,4912.330078,203
HRRNHA,100,9030.570312,8829.129883,7456.930176,118
SJF,150,10625.740234,10422.733398,10422.733398,149
RR,150,20963.439453,20760.433594,739.580017,3106
DRRHA,150,13169.506836,12966.500000,8575.480469,276
MDRRHA,150,13341.886719,13138.879883,8223.093750,299
NDRRHA,150,13242.747070,13039.740234,8124.000000,281
HRRNHA,150,14128.586914,13925.580078,11825.006836,171
SJF,200,14065.620117,13861.820312,13861.820312,199
RR,200,27874.125000,27670.324219,989.655029,4161
DRRHA,200,17724.814453,17521.015625,9567.750000,402
MDRRHA,200,17558.314453,17354.515625,10132.080078,392
NDRRHA,200,17469.875000,17266.074219,8664.719727,384
HRRNHA,200,16667.619141,16463.820312,11841.929688,254
SJF,250,17592.736328,17388.236328,17388.236328,249
RR,250,34914.500000,34710.000000,1239.728027,5222
DRRHA,250,22418.232422,22213.732422,11873.259766,505
MDRRHA,250,22144.292969,21939.792969,12682.511719,498
NDRRHA,250,22752.343750,22547.843750,11334.347656,495
HRRNHA,250,21434.652344,21230.152344,14822.643555,330
SJF,300,20854.750000,20651.904297,20651.904297,299
RR,300,41445.503906,41242.656250,1489.846680,6220
DRRHA,300,26663.146484,26460.300781,14174.690430,613
MDRRHA,300,26177.552734,25974.707031,15234.026367,595
NDRRHA,300,26791.919922,26589.074219,13243.719727,611
HRRNHA,300,24298.580078,24095.732422,18410.386719,372
SJF,350,24091.253906,23888.380859,23888.380859,349
RR,350,47941.941406,47739.070312,1737.945679,7261
DRRHA,350,30847.683594,30644.808594,16145.865234,725
MDRRHA,350,30344.580078,30141.705078,17300.734375,696
NDRRHA,350,31939.412109,31736.537109,14606.559570,738
HRRNHA,350,27775.470703,27572.597656,19844.433594,437
SJF,400,28347.898438,28140.582031,28140.582031,399
RR,400,56443.871094,56236.550781,1987.952515,8476
DRRHA,400,36324.261719,36116.945312,18837.460938,816
MDRRHA,400,35512.136719,35304.824219,20348.607422,800
NDRRHA,400,34829.675781,34622.363281,18597.261719,772
HRRNHA,400,32730.589844,32523.275391,24572.648438,500
SJF,450,31486.857422,31280.980469,31280.980469,449
RR,450,62742.730469,62536.851562,2239.762207,9473
DRRHA,450,40056.523438,39850.644531,21081.031250,920
MDRRHA,450,39675.980469,39470.105469,22267.228516,923
NDRRHA,450,39046.753906,38840.878906,20202.429688,853
HRRNHA,450,36156.714844,35950.835938,26749.626953,569
SJF,500,35062.363281,34855.585938,34855.585938,499
RR,500,69860.226562,69653.437500,2489.793945,10569
DRRHA,500,44433.246094,44226.468750,23708.687500,1013
MDRRHA,500,43857.070312,43650.292969,24797.849609,990
NDRRHA,500,43272.808594,43066.027344,22625.117188,972
HRRNHA,500,40429.621094,40222.839844,29588.253906,634